Composante1,Composante2,Composante3
-4.34255507754695,-1.1397870644053973,-3.6645264790539818
-4.677510059494921,-1.0597608713946667,-3.2203682375072744
-4.694416257749102,-1.0461194035143708,-3.2574326209606514
-4.716118438125341,-1.0392467440845878,-3.296098215343283
-4.7247806486628265,-1.0268330338929175,-3.2817140697105684
-4.795592182220082,-0.9789279825272951,-3.155416497723205
-4.855292734051943,-0.9617891711147919,-3.0402892485284103
-4.972320462561023,-0.9136520269734122,-2.7876858171881107
-4.804383320973827,-0.9448404050059102,-3.1703789603444212
-4.955210661560894,-0.894433187162564,-2.8539261308804758
-4.94799614981535,-0.878556417968831,-2.8757467272158372
-4.990528603321003,-0.8684578808547417,-2.8031774253203348
-4.990976281902132,-0.8595393968651778,-2.791773483716249
-5.013805755936887,-0.8552826566822336,-2.7592214557082886
-4.975786795775532,-0.8514472397283529,-2.8471672830152692
-4.99097383376246,-0.8370683337869834,-2.808570528664877
-4.995280788000211,-0.8315660241231115,-2.8172303470521918
-5.040745961398814,-0.8085370133572751,-2.719630870443559
-5.068977890906284,-0.7866023580005277,-2.650352756821707
-5.064421872940374,-0.8210493304531682,-2.627291097087749
-4.968965435782345,-0.9973291901332809,-2.6877170622379105
-4.864125368319888,-1.0792279197784969,-2.863426055253863
-4.802496785411028,-1.1541458718641415,-2.9614054861769414
-4.877224364079564,-1.1709468270932215,-2.742885148971648
-4.6839354270353715,-1.3402492140610422,-3.0570794585691448
-4.808868921923872,-1.339391612001627,-2.7520101720949417
-4.70471717171574,-1.4036078346844978,-2.9524153111317357
-4.733329481986016,-1.3971705022123586,-2.8834193181362426
-4.765262480520897,-1.4225258922267932,-2.7677635052373657
-4.748537905938528,-1.4435116631960234,-2.7882801953372525
-4.62170806898683,-1.4862731140108436,-3.058774317835784
-4.668522126919247,-1.487903778352538,-2.952479186120765
-4.638554988953379,-1.5021146265998506,-2.994584049329065
-4.679307390776762,-1.513551303828131,-2.8961370589827236
-4.68663784120408,-1.5145317455591178,-2.8724724673378907
-2.891856730337949,-0.7439129777441253,-1.8539972333313803
-3.0421010601811616,-0.7297430277933521,-1.8828766580319931
-3.292390743720012,-0.7202119073260024,-1.9880652527634326
-3.4103518597478497,-0.7433844018404707,-2.012302593322047
-3.608781364861313,-0.7307813180608677,-2.099604307671847
-3.739174510836841,-0.717726503156239,-2.1221555736019733
-3.6791310362627097,-0.7128017870936882,-2.107778812357833
-3.66944382620514,-0.6958693149955488,-1.9799697095578563
-3.6638410998681636,-0.7197546964280045,-1.9682648136503105
-3.6684665973341124,-0.7659197014563982,-1.9759710022804453
-3.6541426204027667,-0.8432384444078893,-2.0219887874235707
-3.730511106236362,-0.9692468974616784,-2.116419079413437
-3.8113638986145744,-1.0334597599651798,-2.1846213568055526
-3.8611494489635074,-1.0747151978939335,-2.1792071399625854
-3.9455176485136265,-1.1301581662384241,-2.24388555994826
-3.984746070632041,-1.1778005366405262,-2.269368675300596
-3.891865597046032,-1.230444342941136,-2.244061732588465
-3.6671014266484674,-1.2316023676894563,-2.1892791817991686
-3.471804796118407,-1.2576706959049697,-2.1495569195702955
